rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,positive_sentiment,negative_sentiment,neutral_sentiment
5.0,It's a water filter that helps remove bad flavors in our refrigerator water system,Our refrigerator came with an in the door water ice option It doesn t dispense ice though it s suppose to but it makes ice gives cold water Our water in our area has a nasty dirt taste to it especially in these drought days really tastes bad We use the SpiroPure SP SA NSF Certified Refrigerator Water Filter Replacement for the filter to clean up the taste A caveat here is that we now also have a stage under sink water purifying system which is also hooked up to the refrigerator s incoming water supply So I m not sure if we even need these or any filters in the refrigerator itself anymore But the wife thinks it works so if she s happy br Since we ve always had a filter in the refrigerator since we bought it well before we got the under sink purifying system it did seem to keep the water cleaner tasting we ve kept them in,B08P53GK9H,B08PL426LQ,AEHAQV6BDIVPRP3HOTRWQ6HV4O6A,1659809771049,1,True,0.5012,0.4441,0.0548
5.0,The product is better than the price would suggest.,Usually you get what you pay for In this case you get a very good well made product for a great price br Fit our fridge perfectly which calls for the Maytag filter Ran a few quarts of water through it to get it conditioned and we have good clean water and ice cubes No issues with taste so this is a good deal for filters I selected to have them shopped directly from the seller Filter Factory and they arrived quickly All four were sealed and the outer box carried the UV seal that they were sanitized,B01IAFO822,B01IAFO822,AFSMR4SVM5G2JTFQMBOZD7P6225Q,1502062220325,23,True,0.0057,0.046,0.9483
1.0,When I searched for parts for my fridge I did ...,When I searched for parts for my fridge I did so by model number NOPE didn t fit However in OEM s defense they refunded my money very quickly,B004XLEC2O,B004XLEC2O,AEHRATRL74PBQERPM4OXKSISL4HA,1463942516000,0,True,0.3796,0.499,0.1214
1.0,"Good value, not for my fridge.",Power cable too short returned,B08J9FFJRH,B08J9FFJRH,AFTJ6EV6JNKM3ED2RZJG6TR5ZMWA,1626096006710,0,True,0.7953,0.1933,0.0113
4.0,Pretty good,These are working great for however the white ones do tend to stain,B0877BB2KP,B08B6XFFRD,AEHKBU3DAAG5BFG67UWAAOPKFMTQ,1612840153816,0,True,0.0291,0.186,0.785
2.0,"Not as pictured. Price is right, but not original quality",Holder does not support filter element Supports are above not below element Definitely counterfeit but of faulty design Was in box that looked like Mr Coffee And filter is not performing same Looks like it will disintegrate,B0007ZFUJO,B07GC8DDQQ,AGMNR7E4JIORBAKUOEUYN7TWMX5Q,1559131443688,1,True,0.9094,0.0828,0.0078
1.0,I sent it back,What was I thinking It barely moved the water around The idea is cute but I ended up just handwashing my items Tried it for clothes It didn t do anything Then I tried it for dishes Again I ended up just handwashing as usual Sent it back,B001RIYCK8,B001RIYCK8,AGKKEJ426MNFGUJQ24L46BARZCNA,1678112283854,0,True,0.6327,0.3322,0.0351
5.0,"Great quality, great price.",Bought these for my four cup mr coffee and they work great and are a better value than the mr coffee brand filters Will definitely be repurchasing when I run out of them,B000HJ9CXK,B000HJ9CXK,AETH247WSLRO3A2ADEAJQH4K63QA,1461858829000,0,True,0.0069,0.0502,0.943
4.0,Good Product,This isn t a product that you can really rate It fits my fridge so I m happy,B01ARKQS44,B01ARKQS44,AEIUNJHVDN7F32YA5PZZ63NR47DQ,1489166078000,0,True,0.0986,0.2799,0.6215
5.0,Exactly as advertised,Was just what it was supposed to be Worked with the refrigerator,B009PCI2JU,B09VTZ54J7,AERWNQAGA2OBHZTZLLZHYMIBMWJA,1546736011595,0,True,0.0398,0.8417,0.1186
