rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,positive_sentiment,negative_sentiment,neutral_sentiment
3.0,Love/Hate,I love the idea of this case It was great for a while but cracked the very first time I dropped it,B00A4HQE4K,B00A4HQE4K,AGTM4TBZTVFGPIRZKSHKUX2ZCU6A,1400957717000,0,True,0.0179,0.0423,0.9398
2.0,Scratches,I thought I d love these but don t Easily scratch and I rarely use my phone so it isn t in and out of my purse Mostly a home phone for me Would not buy again,B01LXZDPDR,B01LXZDPDR,AEYABJJ4FIBCODDM5PZWR7P43KCA,1591058451579,0,True,0.5421,0.3232,0.1347
5.0,Nice case,Having purchased this I can t understand how stores can charge so much more for the same thing For the price of one store bought case and bought for my wife so she can switch them anytime and still saved,B006P7G5FQ,B006P7G5FQ,AGZBEPMCM3JRWZTTPYBNLKWW3OVA,1379296636000,0,True,0.5244,0.4006,0.075
5.0,Works good to prevent scratches,Works great for keeping my screen unscratched but has fallen off a couple times when sleeping No biggie,B08NPDLQ7F,B08NNTMPS9,AHPL73VZLRFXMUYWYYFJCN3A5GIA,1615150817051,0,True,0.0341,0.2638,0.7021
5.0,Very nice band,It s nicer than I thought it would be Soft and pliable yet durable Great watch Band Highly recommend,B07WZKPQBQ,B09QYHHF8F,AEHJXBAMPOCDAXWTJRNANK4DVNFA,1582448524113,0,True,0.004,0.0155,0.9805
5.0,This is super and great,This is super and great I like digital reading to let you know when it has been charged Great product I take it traveling or leave in the car and fits in my purse if Im low while shopping to charge my phone,B00GFDHNLA,B00GFDHNLA,AEZU5KY5IQTYT47IIQJMB7EVKDNA,1442728961000,0,True,0.0028,0.0197,0.9775
5.0,Good quality,Seems to be good quality Magnet is strong enough Zipper is not cheap plastic The only issue I have is the pockets are slight too small to hold a credit card and I was able to get my ID in but it will not be able to come out very easily br br UPDATE I find that I rarely put my phone in the wallet but it is handy when going somewhere I don t want to carry my purse But there is something about this that I never imagined I would like so much and that is the strong magnet case I can stick my phone on any metal surface while I am working washing dishes put it on the refrigerator washing the car put it in a zip lock bag and attach it to the roof Not sure how good of an idea it is but I have stuck it to the side of the PC on my desk It s always handy and out of the way Just the magnetic case was worth the purchase for me,B01985VHCC,B01985VHCC,AECVSWAMV6F7JADRJNV37MKA6IXA,1480970368000,6,True,0.0698,0.3369,0.5933
5.0,Five Stars,Love it,B00NMVMPAM,B07CQTJ2TY,AH2IDYFQDOYEA4JTGWT5E34H5NNA,1470937244000,0,False,0.017,0.0977,0.8853
5.0,Perfect,This case is exactly what I was looking for Fits perfectly Has enough of a lip to protect the screen and protects the camera,B075MX2FKY,B0C39X3KDM,AG2UEDPK43QC5AU6HZTCBANPW2FQ,1545829314401,0,True,0.0072,0.0724,0.9204
1.0,I put this where it belonged; in the trash.,I ll never look at one of these again The case was snug fitting to the point that I had a heck of a time peeling it off of the phone It was a bearcat to get on or off and I didn t like the feel of it or the look I learned my lesson and I will never get this kind of case again,B082HRCQY3,B0B77XGWJ7,AEWD4RT6F6A5U3W3R4NKFGELD24Q,1601298279904,0,True,0.9115,0.0784,0.0101
4.0,Use belt loops,Nice case but fell off my belt the first time I used it almost lost phone I ll use the belt loops from now on,B06Y1GT6Q3,B06Y1GT6Q3,AE6N5IOT6LBLPCTRZJA7GIOEJ2DQ,1513044207132,0,True,0.5575,0.3256,0.1169
5.0,Great item,Received this item Love it Fit perfectly on my iPhone Fits a lot better than the thin plastic ones and looks a lot nicer,B01415QHYW,B01415QHYW,AHBNW5MDHGUDOZ6W6UWTARLO3PPQ,1518229979329,0,True,0.0036,0.015,0.9814
4.0,Dark Blue Rubber Feel Snap-On Cover Hard Case Cell Phone Protector for LG Rumor2 LX265 / Cosmos VN250 [Beyond Cell Packaging],Bought this one for the hubby s phone I Liked this one better than the hot pink one I ordered because it had thinner edges and cleaner lines it just fit the phone better and was a better quality Don t even try to remove it once you put it on takes serious effort not to break it or the phone Same problem with having to carve a small notch in the bottom cover so the top ridge track phone slides on to open wont get stuck when sliding open Again the price is right and love the color I would recommend it and even got another one for my brother,B0026PV6RI,B0026PV6RI,AFQJWPOTJZWQCMLH5XM2SC5VIIQA,1285616228000,0,True,0.0129,0.0737,0.9134
5.0,"Easy to install, great protection",I received an apple watch for Christmas but wanted a little extra protection This was super easy to install and protects it well I have a toddler that is pretty rough and it has protected it well The touch screen works perfectly without any issues,B08B81KT2C,B0C36WHNQM,AGLLCRIWF2VHKNWCQTN26XNLO6NA,1608927279249,0,True,0.009,0.0665,0.9246
1.0,Seems to be great in the waterproof area but absolutely did not help ...,I put the phone case on my new phone the moment I received it just over two weeks ago dropped my phone about a foot and the screen shattered in three places Seems to be great in the waterproof area but absolutely did not help my screen not shatter Super upset,B01MA47MLF,B07F1QKNMR,AGZAKZ5IAKXDBTC2UNPRHZ7ZR3TA,1528394538608,0,True,0.7773,0.1807,0.042
5.0,Returned,I returned this case a bought something more substantial There was nothing wrong with this one but it wasn t right for me,B0B9QXFTSP,B0BQHPWSRX,AE7WZGF47C373D3SXVMYT27CQJZA,1667950522225,0,True,0.8156,0.1734,0.011
4.0,The Incredible Bulk,Adds a lot of bulk to the SGN but it makes me feel like it has a higher level of protection compared to a majority of the other cases I ve tried br br I think the cutout on the back could have been done better and there is a serious lack of texture on the this case compared to the case for the Galaxy S br br The cover for the headphone and the charging jacks look good but they aren t going to be watertight neither is this case The case is good for protecting the body and to a lesser degree the screen from drops br br While it comes with a screen protector from Otterbox I use a tempered glass screen protector instead After seeing this video on youtube I am sold on tempered glass,B00A21L39O,B00APUFHIA,AEII54OV6OOTX4WDMZLL4DFLUF4Q,1378596807000,0,False,0.2786,0.4754,0.246
5.0,Great purchase,Love love love my watch band br Get so many compliments on it,B07SS8XZH5,B07SVC56SQ,AEYEOW6FIMOEMHHNJ6FPDVPU6M6Q,1583821089315,0,True,0.0033,0.0108,0.9859
5.0,"Sturdy cord, nice length.",The cord is sturdy and lone and works great,B011MXWOMU,B011MXWOMU,AEVZNGVPCIOUFIEN6SCLWB4UY6IQ,1457328497000,0,True,0.0108,0.0635,0.9257
5.0,Great customer service,I ordered this for my iPhone because my last screen protector broke but kept my screen whole I like that you get two in a package Unfortunately probably due to my own faux pas the new screen protector cracked I only had it a week So I called the company and then sent me two new ones free of charge I think it s great that they stand by their product The second screen protector works amazingly well and I ve dropped my phone twice and it hasn t cracked So I think I must have just gotten a bad batch the first time Great job JETech,B01KNVF4SI,B0BVBWJV4H,AECBR7ZNKG5SP7MTVZMCK4UHM3EA,1498683029547,1,True,0.2127,0.365,0.4223
5.0,Protective and Practical,This case is working great for me I ve had it for more than a month and it is perfect,B07WS5MYNX,B07WS66X78,AHSSW4OS24A5JUIRBHWBGIVTRFSQ,1583038639851,0,True,0.0051,0.0144,0.9804
3.0,Closure,Magnet would not close,B0836XJZHP,B08JY8776C,AEHO2WBZQTHF2UYNRQOHP6PASYHQ,1631904601345,0,True,0.2403,0.6575,0.1021
5.0,Fits perfectly,Quick shipping protects phone great and looks great,B09D8VB7CS,B09BLMNBT8,AFQJIDMLRIU2RRHPY67YNN55XE3A,1677957634003,0,True,0.0071,0.0219,0.971
2.0,the adhesion will melt,the adhesion will melt once it comes summer was looking for one without the glue like thing in the sunction,B01780KZMW,B01780KZMW,AHEBIGKOYTDKYYFYFTR3XX5X32RQ,1614390153461,0,True,0.2591,0.6848,0.0561
1.0,Zipper is terrible,Probably would have liked this but the zipper is super cheap or badly made It takes a LOT of force to get it to close or open This makes the zippered compartment useless If I put anything in there like money and then if I were in a store it would take me five minutes to get the thing open Then I wouldn t be able to get the thing closed It is really too bad the manufacturer of this didn t use a halfway decent quality zipper I even kept trying hoping that maybe it will start working but it is just a bad zipper they used,B08B4M8MS7,B0BB7QH57K,AEUYALFG2RGOLMT6CESGKC35B45A,1665266385585,1,True,0.8781,0.1106,0.0113
4.0,) The application was easy enough. The blue static cling screen cleaner and ...,Two reasons I purchased this product low price and the fact that it s a two pack Past tempered glass protectors I have had in the past cracked around the corners so over the course of less than one year I have already had two purchase two new screen protectors I occasionally drop my phone on wood or carpeted surfaces but never anything rough The application was easy enough The blue static cling screen cleaner and microfiber cloth did a pretty good job of cleaning the screen before application You really need to go over it a few times with both to make sure it s as clean as possible The first time I tried to apply the glass it was slightly off center but it was easy to slowly remove and retry There is a bit of space along the top right edge where the glass isn t completely coming into contact with the phone but I won t let it bother me That however is the reason for the stars lack of full contact,B01HGCW84K,B01HGCW84K,AELXEOHF7KEONCMMWUHNMDKEWP4Q,1471369464000,2,True,0.082,0.4736,0.4445
5.0,Great price for fun colors,Easy to install fit feel comfortable Vibrant colors Great price I haven t owned these very long so not sure about the durability I ll update in the future if there are any issues,B09D9L72KC,B092J6PK2W,AEGWULNCW7XXZNUT27ENKDJJOHBQ,1668983300294,0,True,0.0991,0.313,0.5879
5.0,Love the practicality,I m a year old female who doesn t like to carry pocketbooks In this case is my phone drivers license physical insurance card and credit card That s all I ever need to carry around with me br br This is my third EYN carrying case in three years I usually buy the Syrah color but it wasn t available this time and purchased the Indigo Why one case a year My vanity I thought had too many scratches and replaced it with another Syrah color I ve replaced this last one because I dropped the phone The case absorbed the impact saving the phone but when the case cracked the door wouldn t stay closed Better to have the case crack and save the phone br br If I have any criticism at all it would be the top of the Indigo color case is different than the printed side and I do not thing it matches But what the hay it still works just fine for my purposes and I get many compliments br br If anyone says this is poor quality plastic they are full of baloney I find the quality and practicality are just hunky dory for my purposes br br BTW I can even take pictures with the door closed and my three cards in it,B00MZBABSS,B00NFYZU1M,AFHFT45BSCQQ5WPWZCJPG2T3PTIA,1493055548000,0,True,0.556,0.4012,0.0427
